"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32"
"48",151752354661.391,167684032985.425,132594582324.184,156988411380.119,150412687822.814,148609949416.96,144130781178.923,139978460594.659,1007470.35284271,1011413.39917773,1001905.34581296,1008825.50155979,1006873.12883469,1006406.96002413,1005155.07805343,1003980.43054354,16.3151326629578,6.51806276189681,24.1569164906581,13.1913367021255,14.1779704813514,15.6917433149116,17.8738922195463,20.210358212825,60.2316727619015,75.0524754290169,41.9347077428249,65.1496061618088,59.6974120039629,57.9279929919227,53.6593385632723,49.6052613316186
"49",158609848499.374,176386285588.055,137394681905.89,164436251819.338,157607611403.181,155590576377.62,150514145218.405,145853968869.842,62412.5841221884,62672.2089431578,62021.8643090776,62503.4796116817,62388.3561387871,62355.0947405149,62269.0149204374,62184.5275252336,15.7473333030259,6.49838801666223,21.7666024975655,12.8875975246186,13.7563896477137,15.1534723303368,17.0145085272436,18.9553519001943,58.1443763900218,74.8289309617686,37.7998788606656,63.6562743418946,57.9301493532477,55.9498167840018,51.0898777301334,46.5372626614797
"50",169180453176.105,187399400787.367,148162725911.125,175081000157.669,168041518874.666,166070433701.253,160898440315.016,156312418812.528,79952.4896546597,80290.6878042039,79439.8161220414,80071.0678234284,79931.2456684561,79887.6971135699,79773.1566658136,79661.3068457736,15.9225981446047,6.57729018527465,22.4030722712227,13.0210780331525,13.8741673964838,15.307222422577,17.193824265536,19.2308529896244,58.7658532983391,75.7304102954868,38.8316830257568,64.2974610287272,58.4042269228541,56.4918576275113,51.5949584880671,47.1700411578241
"51",174290968080.051,192742282141.236,153025163257.279,180264694884.297,172983045765.134,170996186248.513,165777413927.459,161157839065.581,80336.7812176259,80644.7971340513,79891.5461788156,80443.2898463142,80315.3955608176,80277.7193018031,80174.6514117807,80077.7974386125,19.0763999780785,7.60261737300052,28.9892109666195,15.389526069672,16.5993546119129,18.4122925120625,21.0027740514855,23.8796340446806,70.3922738817231,87.531349781846,50.2298089569542,75.9824303678319,69.8646139834633,67.9382593479185,63.0097777339952,58.5555992005345
"52",172656904101.563,193238685062.617,148004947743.446,179411634569.264,171583700704.164,169229505577.944,163323414666.182,157893964513.575,756845.865319058,759622.159730445,752851.517391888,757804.624464743,756627.452515408,756289.518116617,755364.848800787,754498.435010103,21.9825738664696,8.73120232957074,33.0652489341703,17.7306611434685,19.2105164927724,21.2838754803843,24.2872389690069,27.5407597381769,81.1478642700831,100.533771192777,57.3830371119308,87.563647366882,80.8821027033656,78.565988740091,72.9052178577885,67.5876475255806
"53",172280145456.839,195761895586.832,144040595105.66,179999072996.922,171458996622.031,168736707430.988,161941340031.351,155667379444.845,51500.1912561692,51712.3862257144,51171.825625027,51574.9992966689,51487.7843973753,51460.0389718752,51387.0552230852,51315.3468938108,21.4790623146158,8.82225014380959,29.9101827178134,17.5503136317277,18.8356719897565,20.7557534358829,23.3389503884003,26.0329436142091,79.313346119904,101.589638419858,51.9599731774368,86.6908494884394,79.3247125243637,76.6404799667669,70.0881952191416,63.9238248843411
"54",175144347427.729,199600133851.699,146779644598.906,183082716619.177,174052012911.866,171359365798.036,164357287648.378,158111916435.434,63249.5585956759,63543.8241353264,62774.4210559663,63354.4470192897,63237.8662251702,63198.321491886,63094.0462859862,62990.0331599498,20.1657537454722,8.46196556237585,27.2606481077063,16.5941038161944,17.618266700955,19.3851796970682,21.6125694525913,23.9675049819629,74.449294260678,97.4372417615272,47.3087799886324,81.9576387505793,74.1852105918971,71.5648655593493,64.8838714572572,58.8253301861159
"55",174525722818.583,198480442941.467,147354423590.23,182242484889.468,172948955766.454,170414560587.338,163658073660.459,157761798698.209,50341.4946174412,50576.9728560298,49974.5181942978,50424.5759284234,50329.4919908589,50299.2768937696,50216.2567690632,50136.2644736167,21.120166119569,8.70384145940044,30.1258629996339,17.2473469258343,18.3365391707709,20.2537557827338,22.783889723241,25.5646535251255,77.9568112540446,100.217554661933,52.2462726607209,85.1722478450582,77.195613007057,74.7552451521234,68.3801889465934,62.7203797676826
"56",169645819797.789,193957788270.364,141569021141.126,177526923433.132,167942657707.438,165314258961.888,158465820260.006,152378854128.831,34290.8770272676,34449.4066609459,34051.4691637826,34346.3295288765,34278.9609702946,34259.3638248442,34204.2738394391,34152.5039127549,22.1615158537053,9.06912573998554,31.7637521658718,18.0608181046458,19.223455289548,21.2364894679125,23.9561392277421,26.9085092788867,81.8204211473604,104.42880546937,55.1472731061958,89.203269070541,80.9462653220431,78.4021836935692,71.9244586283184,66.0519100784084
"57",166261679536.641,191459110613.702,136962178921.321,174449995789.462,164605604227.893,161852021648.544,154742149398.882,148373975399.104,35334.7617848437,35509.1627468739,35062.2939579294,35396.3328440875,35320.7265355297,35298.5219535333,35237.3514617382,35178.5675440737,20.7248208271572,8.68546489900459,27.9957814817841,17.049407034815,17.981020347014,19.7843679585869,22.0805075191069,24.4958486148297,76.5327506543697,100.016127747358,48.6421741054193,84.2200661725993,75.7287056327095,73.0574066162099,66.313324549906,60.1546033599792
"58",165620702949.893,190297781263.782,137629587755.632,173571926796.749,163738230334.861,161144158139.66,154251976489.152,148224425883.3,550117.705525015,553025.244191227,545456.268591411,551151.167948937,549896.692999811,549519.61037853,548486.560990578,547480.972165619,19.1591857044996,8.12422213595901,25.5646454309374,15.819410060503,16.5551716751023,18.2076941038799,20.230509391843,22.3943018273605,70.7338434335361,93.5486086822349,44.3647393061446,78.1320955801848,69.70867895669,67.2176894614597,60.7341457104327,54.9630955370233
"59",162291260040.036,185665549062.524,136091375656.455,169792169738.059,160136221972.021,157738783417.795,151282861477.54,145702999858.425,66499.8811259116,66847.4618235759,65961.9673006148,66622.2538225638,66469.2396274604,66425.8905394152,66303.9375119436,66188.4018558928,20.0986297798732,8.30468983617938,28.6526622814689,16.4246936888753,17.3142437919783,19.1292095964906,21.5163750683612,24.1578812452747,74.1847875350153,95.621325678297,49.6869671692244,81.1087965854431,72.8899066394329,70.6023992569208,64.5731505545468,59.265266638484
"60",153864533150.084,177249824920.201,126962755859.468,161435926522.669,151825202611.105,149335025436.655,142839888853.274,137075853230.998,40623.495532153,40833.6790699222,40306.2364075083,40697.0030589398,40601.1558562299,40575.6162682343,40502.9934256225,40435.275495139,21.3099193998569,8.70548208967637,30.6976300087323,17.3541544216765,18.4080623217929,20.3454637958735,22.9825642946798,25.8540721454611,78.6737497760409,100.240788703682,53.2897963678408,85.7111692750042,77.5102510198274,75.1096801116305,68.9977364868902,63.4588936522105
"61",141165171914.151,165392569099.987,112961592028.215,149041880783.685,139387625190.404,136748769726.055,129961965405.507,123864892477.926,40479.3116769453,40710.4228364468,40113.5868401713,40561.1665203441,40455.9295365948,40426.5505170523,40345.3234594476,40267.1024338988,20.1717506527289,8.42274941291762,27.4576062058327,16.5720094439795,17.4724030431374,19.2348131604792,21.5085113937035,23.9038512352254,74.4892775314604,96.9905101077033,47.7051273554946,81.8610112586124,73.5855563791082,71.0268578676649,64.5940304882685,58.6990969957529
"62",128027190448.163,151911599359.979,100841499980.197,135732529148.533,126194214927.189,123674858310.864,117020998308.779,111173927615.067,498983.909043819,502422.266813619,493230.637172954,500218.969019481,498686.799844758,498232.167810778,496982.395672977,495749.029006954,18.4541114201843,7.83425321040286,24.4915410359342,15.2461577312023,15.9450137032213,17.5301666393054,19.4678175044017,21.527132124068,68.136778982267,90.2113615482593,42.5192290218102,75.3050603482954,67.1445603319108,64.722373217496,58.4521331933362,52.8447552645131
"63",119010397980.854,141589544397.725,93732979541.046,126253441749.582,116959037178.83,114648260472.866,108423043461.341,103044813273.995,315008.130360259,317567.8935438,310713.743430245,315927.594914553,314773.731584113,314440.822018108,313496.499929361,312578.835384657,18.3827040799499,7.69010262588632,25.5083915507011,15.0929455262254,15.824504341751,17.4524916584569,19.5250729103533,21.7998778467275,67.8613129282,88.5479553069904,44.2577745134634,74.5397037928798,66.6268522655905,64.4237586359738,58.6092242394697,53.495792129738
"64",111998987786.316,133933263440.451,87090271783.3964,119069350264.828,109957140079.939,107671606768.759,101620786835.011,96317979732.5614,47759.7222025505,48181.8393723088,47062.4724935035,47910.7246302371,47713.7468469706,47660.0990846722,47504.8764723368,47356.6222778648,18.4226846754803,7.65329412667745,25.7322375941607,15.093429275499,15.8635509244032,17.5001304034707,19.6334713036767,21.9506146096305,68.0224839681169,88.1277353846607,44.6879341098483,74.5515566120934,66.8028184193509,64.613211654511,58.9525857456873,53.8895530677373
"65",102565190186.878,124267132342.657,77756095884.5889,109576981138.682,100641291425.142,98353723219.5697,92348299470.489,87047080171.3981,41246.0439036048,41642.8038641443,40570.9718414181,41389.0254286668,41201.5330097904,41149.8284128772,41002.4299574581,40859.0466603114,16.4592897687688,7.01119482967299,21.5577717635679,13.6195723463396,14.1709245041231,15.5665430591104,17.2623966143986,19.0423094616481,60.7921121686675,80.7396162737941,37.4852433525438,67.2855318280191,59.6912683836774,57.4929598907612,51.8568122177865,46.7796546431707
"66",93467217461.3615,113802600536.839,70804310001.5358,99981437889.4359,91424923938.3728,89365613696.5554,83796779156.9373,79002114033.0725,49658.3350459682,50212.4542119034,48676.9283284887,49859.9444643185,49598.4217420718,49524.3332469486,49313.5838280497,49105.161805969,13.1355453491756,5.82353808765812,15.7865744228944,11.0306696593653,11.2242985538781,12.2710734096425,13.3614785662719,14.4890429396242,48.5240605987769,67.0653416481921,27.4676175153353,54.5014598104253,47.2861384277897,45.3293792656168,40.1478434376712,35.6057947402677
"67",90748712693.026,108293866111.857,71931869485.6965,96298221386.7102,88384569401.7758,86730017363.1227,82043129135.7684,78164546223.6212,181883.022722986,184150.801903875,177957.484886852,182703.405799759,181603.443682589,181309.526104276,180447.871800023,179616.520818816,10.2424806080376,4.64741489074792,11.9325926855672,8.66699913406466,8.60803161851469,9.40097620455456,10.135742355388,10.93182748616,37.8314680773024,53.5194370710087,20.7447914959177,42.8191299128791,36.259509646772,34.7216707818185,30.4478975423009,26.8542656579642
"68",95193972110.1492,109599026792.626,80074249070.9884,99718361771.8839,92608755029.0141,91323989000.9136,87583624860.7137,84561189494.5284,38784.534471746,39234.8064965054,38078.9316447319,38943.5067743971,38711.1871983243,38657.6521080004,38495.1919248889,38347.2152033404,9.19440342528561,4.04242097962709,11.8271090596283,7.67824601020776,7.63706575812293,8.39341951197207,9.209946295915,10.1481184965564,33.9415876934355,46.5470212646696,20.5114368031097,37.9208489927241,32.1534322581594,30.981571103192,27.642761381174,24.898082526759
"69",100415362842.936,112744414483.607,87116567165.0697,104321763075.377,97963818092.2585,96831196116.6454,93649689710.5851,91001065514.397,30539.8033989012,30814.2003069054,30154.0439055688,30633.972469129,30482.1518881911,30452.3724026543,30361.0646748641,30281.8281498121,10.1939706832513,4.20212649949035,14.8565398300636,8.31491256414074,8.54509860917871,9.46390273384273,10.6915703170101,12.0904608040685,37.6208135951304,48.3823010338923,25.7496160452166,41.0569443245274,35.9676199074656,34.9229020240343,32.0782801841188,29.6504244822982
"70",101699545818.311,113783707879.1,87822301706.7196,105609283102.052,99738543810.9626,98499592533.3082,95279573373.7317,92413987258.5345,70994.364521144,71498.3204505941,70302.6209061788,71166.1305421,70880.0345415755,70825.3889361841,70665.3061094475,70524.1012327974,11.3600325377405,4.5830713522349,16.7812443582155,9.20865503374267,9.67980885529706,10.7200087542747,12.1925105244519,13.8046615654415,41.9360357826593,52.7713544931008,29.1231565771019,45.4781408137783,40.7546905316873,39.5708781978894,36.5987813584942,33.8770604234791
"71",99665209470.4089,112443697641.369,84627139563.6622,103834505415.317,98208150235.7087,96819949866.7244,93303189295.4432,90099906788.9536,265338.744309126,267145.842393855,262694.833554849,265965.889750872,265006.873540962,264790.834595558,264204.854114652,263651.424929462,11.1271875775533,4.58763457377836,15.4898667568006,9.10082089216411,9.58487698199851,10.5667647117834,11.8871161658768,13.2768602578275,41.0864538594366,52.8269264024483,26.9039893945014,44.9529043737972,40.3638993864771,39.0154506593431,35.6947655581789,32.5975215910021
