"","V1","V2","V3","V4","V5","V6","V7","V8"
"102",117493.041225282,117493.041225282,117493.041225282,117493.041225282,117493.041225282,117493.041225282,117493.041225282,117493.041225282
"103",117492.810956038,117492.810956038,117492.810956038,117492.810956038,117492.810956038,117492.810956038,117492.810956038,117492.810956038
"104",117492.600947185,117492.600947185,117492.600947185,117492.600947185,117492.600947185,117492.600947185,117492.600947185,117492.600947185
"105",117492.409503258,117492.409503258,117492.409503258,117492.409503258,117492.409503258,117492.409503258,117492.409503258,117492.409503258
"106",117492.235009822,117492.235009822,117492.235009822,117492.235009822,117492.235009822,117492.235009822,117492.235009822,117492.235009822
"107",117492.07594123,117492.07594123,117492.07594123,117492.07594123,117492.07594123,117492.07594123,117492.07594123,117492.07594123
"108",117491.930878781,117491.930878781,117491.930878781,117491.930878781,117491.930878781,117491.930878781,117491.930878781,117491.930878781
"109",117491.798527876,117491.798527876,117491.798527876,117491.798527876,117491.798527876,117491.798527876,117491.798527876,117491.798527876
"110",117491.677726465,117491.677726465,117491.677726465,117491.677726465,117491.677726465,117491.677726465,117491.677726465,117491.677726465
"111",117491.567441977,117491.567441977,117491.567441977,117491.567441977,117491.567441977,117491.567441977,117491.567441977,117491.567441977
